epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,8976.26,1.31998,2.11281,0.99095,1.04491,0.78565,0.69147,0.75695,0.49529,0.73232,0.64087,0.68375,0.35545,1.18783,1.8181,0.84727,0.97916,0.0097228,0.0097228,0.0097228
30,9241.08,1.31585,2.10359,0.98539,1.04283,0.78314,0.68827,0.76225,0.50023,0.74745,0.63538,0.68853,0.35741,1.17803,1.81159,0.83963,0.97408,0.0097129,0.0097129,0.0097129
31,9507.32,1.313,2.10171,0.97562,1.0398,0.76949,0.69653,0.76165,0.50322,0.73536,0.64456,0.69305,0.36459,1.16344,1.81558,0.83826,0.97013,0.009703,0.009703,0.009703
32,9773.08,1.3113,2.10244,0.97343,1.04033,0.77964,0.68572,0.76458,0.50448,0.75507,0.63562,0.69966,0.36455,1.15867,1.8076,0.82919,0.96557,0.0096931,0.0096931,0.0096931
33,10037.3,1.30409,2.08266,0.96914,1.03923,0.77361,0.69934,0.76611,0.50612,0.73964,0.65149,0.69836,0.36459,1.15315,1.7886,0.82046,0.96504,0.0096832,0.0096832,0.0096832
34,10302.2,1.2965,2.06875,0.96008,1.03656,0.78644,0.69668,0.76894,0.51155,0.75329,0.64878,0.70119,0.36816,1.14402,1.78845,0.81666,0.96302,0.0096733,0.0096733,0.0096733
35,10567.3,1.29685,2.07343,0.95691,1.03793,0.78357,0.71239,0.77194,0.51355,0.7489,0.65971,0.70294,0.36903,1.1457,1.78664,0.80728,0.96324,0.0096634,0.0096634,0.0096634
36,10833.9,1.29268,2.06144,0.94887,1.0318,0.79232,0.70611,0.77386,0.5142,0.75045,0.65823,0.70181,0.3684,1.14541,1.77204,0.80825,0.96223,0.0096535,0.0096535,0.0096535
37,11099.2,1.28756,2.04922,0.94383,1.03233,0.80357,0.70284,0.77617,0.51995,0.77285,0.6535,0.71126,0.3783,1.13131,1.76665,0.79871,0.95671,0.0096436,0.0096436,0.0096436
38,11364.2,1.289,2.04956,0.94241,1.03121,0.79156,0.71049,0.78008,0.52202,0.75527,0.66165,0.70893,0.37773,1.13322,1.76313,0.79531,0.95659,0.0096337,0.0096337,0.0096337
39,11629.3,1.28933,2.05582,0.94275,1.03216,0.81099,0.71288,0.78462,0.52684,0.76426,0.66501,0.71074,0.37817,1.13047,1.75718,0.78838,0.9553,0.0096238,0.0096238,0.0096238
40,11894.8,1.28131,2.04284,0.93571,1.02792,0.79569,0.71559,0.78214,0.52544,0.75967,0.66297,0.70963,0.37958,1.12288,1.75184,0.78565,0.94995,0.0096139,0.0096139,0.0096139
41,12159.4,1.27844,2.03493,0.9305,1.02858,0.79304,0.71862,0.78326,0.52628,0.75106,0.66783,0.71026,0.38078,1.12,1.74788,0.78341,0.9508,0.009604,0.009604,0.009604
42,12424.8,1.27882,2.03336,0.92933,1.02745,0.79884,0.71448,0.78467,0.52869,0.76171,0.66401,0.71288,0.38247,1.11514,1.73908,0.77652,0.94707,0.0095941,0.0095941,0.0095941
43,12689.5,1.27486,2.02852,0.92618,1.02745,0.80047,0.71178,0.78474,0.52861,0.77348,0.65818,0.71523,0.38233,1.11033,1.73549,0.78167,0.942,0.0095842,0.0095842,0.0095842
44,12956.5,1.26818,2.02726,0.92238,1.02374,0.80307,0.7106,0.78519,0.53115,0.7714,0.66673,0.7211,0.38448,1.10728,1.72849,0.77495,0.94342,0.0095743,0.0095743,0.0095743
45,13221.7,1.26824,2.01763,0.91606,1.02396,0.80594,0.71508,0.78655,0.53103,0.77585,0.66598,0.71596,0.38507,1.106,1.72666,0.76812,0.94599,0.0095644,0.0095644,0.0095644
46,13487.5,1.26894,2.01036,0.9141,1.02196,0.80424,0.71373,0.787,0.53351,0.77305,0.66191,0.71741,0.38743,1.10248,1.72335,0.76802,0.94494,0.0095545,0.0095545,0.0095545
47,13752.9,1.26591,2.01083,0.91406,1.02324,0.80468,0.71326,0.78804,0.53468,0.76506,0.66543,0.71541,0.38705,1.10023,1.72403,0.7692,0.9449,0.0095446,0.0095446,0.0095446
48,14017.9,1.26118,2.00461,0.90962,1.0197,0.80575,0.71317,0.78817,0.53725,0.75663,0.66667,0.71405,0.38863,1.0969,1.71954,0.7687,0.94331,0.0095347,0.0095347,0.0095347
